filename,suggested_path,page,asin,product_name,source_url,license_basis,alt_text,caption,width,height,bytes,aspect
product-asitvo-barefoot.webp,public/images/products/product-asitvo-barefoot.webp,compare,B0D4PX3W6B,ASITVO Minimalist Barefoot Cross-Trainer,https://www.amazon.com/dp/B0D4PX3W6B,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,ASITVO minimalist barefoot cross-trainer sneaker,Cross-trainer style barefoot shoe — check live listing for your size.,800,800,91644,1:1
product-airhas-workout.webp,public/images/products/product-airhas-workout.webp,compare,B0FNCXRVND,AIRHAS Barefoot Workout Sneakers,https://www.amazon.com/dp/B0FNCXRVND,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,AIRHAS barefoot workout training sneaker,Barefoot workout trainer — check live listing for your size.,800,800,92026,1:1
product-whitin-barefoot.webp,public/images/products/product-whitin-barefoot.webp,compare,B09MVW4KYZ,WHITIN Barefoot Minimalist Shoes,https://www.amazon.com/dp/B09MVW4KYZ,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,WHITIN barefoot minimalist sneaker,Lightweight barefoot sneaker — check live listing for your size.,800,800,74848,1:1
product-barezoey-wide-barefoot.webp,public/images/products/product-barezoey-wide-barefoot.webp,compare,B0FJRY47TG,Barezoey Wide Barefoot Shoes,https://www.amazon.com/dp/B0FJRY47TG,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Barezoey wide zero-drop barefoot sneaker,Wide zero-drop marketplace trainer — check live listing for your size.,800,800,59998,1:1
product-ubfen-minimalist-barefoot.webp,public/images/products/product-ubfen-minimalist-barefoot.webp,compare,B0DTHJMK7P,UBFEN Minimalist Barefoot Shoes,https://www.amazon.com/dp/B0DTHJMK7P,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,UBFEN minimalist barefoot sneaker,Everyday minimalist barefoot trainer — check live listing for your size.,800,800,77418,1:1
product-joomra-trail-barefoot.webp,public/images/products/product-joomra-trail-barefoot.webp,compare,B08J6QN1NF,Joomra Trail Barefoot Shoes,https://www.amazon.com/dp/B08J6QN1NF,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Joomra trail barefoot minimalist shoe,Trail-ready minimalist shoe — check live listing for your size.,800,800,74770,1:1
product-xero-prio.webp,public/images/products/product-xero-prio.webp,compare,B0F49KZ6XQ,Xero Shoes Prio,https://www.amazon.com/dp/B0F49KZ6XQ,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Xero Shoes Prio barefoot training shoe,Classic barefoot training shoe — check live listing for your size.,800,800,102290,1:1
product-xero-xt-max.webp,public/images/products/product-xero-xt-max.webp,compare,B0GL59H2TL,Xero Shoes XT Max,https://www.amazon.com/dp/B0GL59H2TL,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Xero Shoes XT Max barefoot training shoe,Max-cushion barefoot trainer — check live listing for your size.,800,800,52544,1:1
product-xero-x1-low.webp,public/images/products/product-xero-x1-low.webp,compare,B0H474GHMR,Xero Shoes X1 Low,https://www.amazon.com/dp/B0H474GHMR,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Xero Shoes X1 Low barefoot training shoe,Low-cut barefoot training shoe — check live listing for your size.,800,800,73322,1:1
product-xero-x1-mid.webp,public/images/products/product-xero-x1-mid.webp,compare,B0F5X98KVK,Xero Shoes X1 Mid,https://www.amazon.com/dp/B0F5X98KVK,Amazon Associates / Product Advertising image use — product image from Amazon product detail page for affiliate linking to this ASIN; use only while linking to Amazon; StackSpan Associates tag stackspan-20.,Xero Shoes X1 Mid barefoot training shoe,Mid-cut barefoot training shoe — check live listing for your size.,800,800,84668,1:1
